	As	Cd	Co	Cr	Cu	Fe	La	Mn	Ni	Y	Yb	Zn
YDR444W	0	0	0	0	0	0	-1	0	0	-1	0	0
YDR445C	0	0	0	0	0	0	-1	0	0	0	0	0
YDR450W	1	0	0	0	0	0	-1	0	0	0	0	0
YDR456W	0	-1	-1	0	-1	0	-1	-1	1	1	0	-1
YDR457W	0	0	0	0	0	0	-1	0	0	0	0	0
YDR461W	0	0	0	0	0	0	0	0	0	1	1	0
YDR462W	0	0	0	-1	0	0	0	0	0	1	1	0
YDR463W	-1	0	0	-1	0	0	1	0	1	1	0	0
YDR475C	0	0	0	0	0	0	-1	0	0	0	0	0
YDR477W	-1	-1	-1	-1	0	-1	-1	0	-1	0	0	0
YDR486C	-1	0	-1	-1	-1	0	-1	0	1	1	0	0
YDR505C	0	0	0	0	0	0	-1	0	0	0	0	0
YEL027W	-1	-1	0	-1	0	0	-1	-1	-1	0	0	-1
YEL029C	-1	-1	0	-1	0	0	1	0	0	0	0	0
YEL036C	0	-1	0	-1	-1	0	-1	0	0	0	0	0
YEL045C	0	-1	0	-1	0	0	1	0	0	1	0	-1
YEL046C	0	-1	0	-1	0	0	1	0	0	1	0	0
YEL048C	0	0	0	0	0	0	1	0	0	0	0	0
YEL053C	0	0	0	0	-1	-1	1	0	0	1	0	0
YEL054C	0	0	0	-1	0	0	1	0	0	0	0	0
YEL061C	-1	0	0	0	0	0	1	0	0	0	0	0
YEL062W	-1	-1	0	-1	0	0	1	0	0	1	0	0
YER031C	0	0	-1	0	0	0	-1	0	0	1	0	0
YER074W	0	0	0	-1	0	0	-1	0	0	0	0	0
YER077C	0	0	0	0	0	0	0	0	0	0	1	0
YER083C	0	-1	0	0	-1	-1	0	0	0	0	1	-1
YER090W	0	0	-1	0	-1	-1	1	0	0	1	0	0
YER119C-A	0	0	0	1	0	0	-1	0	0	0	0	0
YER130C	0	0	0	0	0	0	1	0	0	0	0	0
YER151C	-1	-1	0	-1	0	0	-1	0	-1	1	0	0
YER155C	-1	-1	0	0	0	0	1	0	0	1	0	0
YER174C	0	0	0	0	0	0	0	0	0	1	1	0
YFL013W-A	0	-1	0	0	0	0	1	0	0	0	0	0
YFL016C	0	0	0	0	-1	0	0	0	0	0	1	-1
YFL025C	-1	0	0	0	0	0	0	0	0	1	1	0
YFR001W	0	0	0	0	0	0	-1	0	0	0	0	0
YFR013W	0	0	0	0	0	0	1	0	0	1	0	0
YFR035C	0	0	0	0	0	0	1	0	0	0	0	0
YFR044C	0	0	0	0	0	0	1	0	0	0	0	0
YFR057W	0	0	0	0	0	0	1	0	0	0	0	0
YGL005C	0	0	0	0	-1	0	-1	0	0	0	0	-1
YGL007C-A	0	0	0	0	0	0	1	0	0	0	0	0
YGL007W	0	0	0	-1	0	0	1	0	0	1	0	0
YGL012W	-1	0	0	-1	-1	0	-1	-1	0	0	0	0
YGL014W	0	0	0	0	0	0	1	0	0	0	0	0
YGL031C	0	0	0	0	0	0	-1	0	0	0	0	0
YGL045W	0	1	0	0	0	0	0	0	1	0	1	0
YGL054C	0	0	0	-1	0	0	-1	-1	0	0	0	0
YGL058W	-1	-1	0	0	0	0	-1	0	0	-1	0	0
YGL064C	0	0	0	0	-1	-1	1	0	0	0	0	0
YGL100W	-1	0	0	0	0	0	-1	0	0	0	0	0
YGL105W	0	0	0	0	0	0	-1	0	0	0	0	0
YGL115W	0	0	0	0	0	0	-1	0	0	0	0	0
YGL124C	0	0	-1	-1	0	-1	-1	0	0	1	0	-1
YGL135W	0	0	0	-1	0	0	-1	0	0	0	0	0
YGL140C	0	0	0	0	0	0	0	0	0	1	1	0
YGL188C-A	0	0	0	0	0	0	-1	0	0	0	0	0
YGL211W	0	0	-1	0	-1	0	-1	0	0	0	0	0
YGL212W	0	-1	0	-1	0	-1	-1	0	-1	1	0	-1
YGL218W	0	0	-1	0	0	0	-1	-1	0	0	0	0
YGL223C	0	0	0	0	0	0	0	0	0	-1	-1	0
YGL246C	0	0	0	0	0	0	-1	0	0	0	0	0
YGL253W	0	0	0	0	0	0	0	0	0	1	1	0
YGR020C	0	-1	0	-1	0	0	-1	-1	-1	-1	0	-1
YGR025W	0	0	0	0	0	0	1	0	0	0	0	0
YGR026W	0	0	0	0	0	0	1	0	0	1	0	0
YGR028W	0	0	0	0	0	0	0	0	0	1	1	0
YGR037C	0	0	0	0	0	0	1	0	0	1	0	0
YGR056W	-1	0	0	0	0	0	-1	0	0	0	0	0
YGR064W	0	0	-1	0	0	0	1	0	0	0	0	0
YGR072W	1	0	0	0	-1	0	1	0	0	1	0	0
YGR086C	0	0	-1	0	0	0	-1	0	0	0	0	0
YGR089W	0	-1	0	0	0	0	-1	-1	1	0	0	0
YGR096W	0	0	0	0	0	0	1	0	0	1	0	0
YGR097W	1	0	0	0	0	0	1	0	0	1	0	0
YGR102C	0	0	0	-1	0	0	1	1	0	0	0	-1
YGR105W	-1	-1	0	-1	0	0	-1	-1	-1	-1	0	-1
YGR118W	0	0	0	0	0	0	-1	0	0	0	0	0
YGR139W	0	0	0	0	0	0	0	0	0	1	1	0
YGR155W	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0
YGR157W	0	0	0	0	-1	0	-1	0	0	0	0	0
YGR159C	-1	0	0	0	-1	0	-1	0	0	0	0	0
YGR162W	0	0	0	0	0	0	-1	0	0	0	0	0
YGR163W	-1	0	0	0	0	0	-1	0	0	0	0	0
YGR192C	-1	0	0	0	-1	0	1	0	0	0	0	0
YGR200C	0	0	0	0	0	0	-1	0	0	0	0	0
YGR206W	0	-1	0	0	0	0	1	0	1	1	0	0
YGR214W	0	0	0	0	0	0	-1	0	0	0	0	0
YGR228W	-1	0	0	0	0	0	1	0	0	1	0	0
YGR252W	-1	-1	0	0	0	0	-1	-1	0	0	0	0
YGR258C	0	0	0	0	0	0	0	0	0	1	1	0
YGR270W	-1	0	0	0	0	0	-1	0	0	1	0	0
YGR271C-A	0	0	0	0	0	0	-1	0	0	0	0	0
YHL011C	0	-1	0	0	0	0	-1	0	0	0	0	0
YHR004C	-1	0	0	0	0	0	-1	1	0	0	0	0
YHR008C	0	-1	0	0	0	0	1	0	0	0	0	0
YHR010W	0	0	0	-1	0	0	0	0	0	0	1	0
YHR012W	-1	-1	0	-1	-1	0	-1	-1	1	0	0	0
YHR021C	0	-1	0	-1	0	0	-1	0	0	0	0	0
YHR026W	-1	-1	0	-1	0	-1	-1	-1	-1	-1	0	-1
YHR045W	0	0	0	0	0	0	1	0	0	0	0	0
YHR050W	0	1	0	0	0	0	0	0	0	-1	-1	0
YHR060W	0	-1	0	-1	0	-1	-1	0	-1	-1	0	-1
YHR064C	0	0	0	0	0	0	-1	-1	0	-1	0	0
YHR098C	0	0	0	0	0	0	1	0	0	0	0	0
YHR135C	-1	0	0	0	0	0	0	1	0	1	1	0
YHR153C	0	0	0	0	0	0	0	0	0	1	1	0
YHR191C	0	-1	0	0	0	0	0	0	0	1	1	0
YHR193C	0	0	0	0	0	0	0	1	0	1	1	0
YHR203C	0	0	0	0	0	0	-1	0	0	0	0	0
YHR205W	0	0	0	0	0	0	-1	0	0	0	0	0
YIL008W	1	0	-1	0	0	0	-1	0	0	0	0	0
YIL010W	0	0	0	0	0	0	-1	0	0	0	0	0
YIL027C	0	0	0	0	0	0	1	0	0	0	0	0
YIL034C	0	0	0	0	0	0	1	0	0	0	0	0
YIL047C	0	0	0	0	0	0	0	1	0	0	1	0
YIL049W	0	0	0	0	0	0	0	0	0	0	1	0
YIL052C	0	0	0	1	0	0	-1	0	0	0	0	0
YIL054W	0	0	0	0	0	0	0	1	0	0	1	0
YIL093C	-1	0	0	-1	0	0	0	0	0	0	1	0
YIL097W	0	0	0	-1	0	0	0	0	0	1	1	0
YIL128W	0	-1	0	0	0	0	0	0	0	1	1	0
YIL134W	0	0	0	0	0	0	0	0	0	1	1	0
YIL148W	-1	0	0	0	0	0	0	0	0	1	1	0
YIL153W	-1	0	0	0	0	0	1	0	0	0	0	0
YIL157C	0	0	0	0	0	0	0	1	0	1	1	0
YIR009W	0	0	0	0	0	-1	0	1	0	0	1	0
YIR042C	0	0	0	0	0	0	1	0	0	0	0	0
YJL006C	0	0	0	1	0	0	-1	0	0	0	0	0
YJL024C	0	0	0	0	0	-1	0	0	-1	0	1	0
YJL029C	-1	0	-1	-1	0	0	0	-1	0	0	1	-1
YJL053W	-1	-1	0	0	-1	0	-1	0	1	0	0	0
YJL062W	-1	0	0	0	0	0	1	0	0	0	0	0
YJL063C	-1	-1	0	0	0	0	1	0	0	0	0	0
YJL064W	0	0	0	0	0	0	1	0	0	0	0	0
YJL065C	0	0	0	0	0	0	1	0	0	0	0	0
YJL102W	-1	0	0	0	0	0	1	0	0	0	0	0
YJL110C	0	0	0	0	0	0	1	0	0	0	0	0
YJL117W	0	-1	-1	-1	0	-1	-1	-1	-1	0	0	-1
YJL120W	-1	0	0	0	-1	0	1	0	0	1	0	0
YJL121C	-1	0	0	0	0	0	-1	-1	0	0	0	0
YJL124C	0	-1	-1	0	0	0	1	0	-1	1	0	0
YJL128C	-1	-1	0	0	0	0	1	0	0	0	0	0
YJL131C	-1	0	0	0	0	0	1	0	0	1	0	0
YJL134W	0	0	0	0	0	0	0	0	0	1	1	0
YJL140W	-1	0	0	0	0	0	1	0	0	0	0	0
YJL154C	0	-1	0	0	-1	0	-1	0	1	1	0	0
YJL165C	0	0	0	0	-1	0	-1	-1	0	0	0	0
YJL189W	-1	0	0	0	0	0	-1	0	0	0	0	0
YJL190C	0	-1	-1	0	0	0	1	0	0	0	0	0
YJL198W	0	0	0	0	0	0	-1	0	0	0	0	0
YJL207C	0	0	0	0	0	0	1	0	0	0	0	0
YJL209W	0	0	0	0	0	0	1	0	0	0	0	0
YJL211C	0	0	0	0	0	0	1	0	0	0	0	0
YJR018W	-1	0	0	1	0	-1	-1	0	0	0	0	-1
YJR033C	0	0	-1	0	0	0	-1	-1	-1	0	0	-1
YJR040W	0	-1	-1	0	0	0	-1	-1	0	0	0	-1
YJR056C	0	0	0	1	0	0	0	0	0	0	1	0
YJR060W	-1	0	0	0	0	0	-1	0	0	0	0	0
YJR074W	0	-1	0	0	0	0	0	-1	1	1	1	0
YJR086W	0	0	0	0	0	0	0	0	0	1	1	0
YJR087W	0	0	0	0	-1	0	1	0	0	1	0	0
YJR102C	-1	-1	0	-1	-1	0	0	0	1	1	1	-1
YJR118C	0	-1	0	0	0	0	0	0	-1	0	1	0
YKL007W	0	0	0	0	0	0	1	0	0	0	0	0
YKL037W	0	0	0	0	-1	0	0	0	0	0	1	0
YKL056C	0	0	0	0	0	0	-1	0	-1	0	0	0
YKL061W	0	0	0	0	0	0	1	0	0	0	0	0
YKL080W	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1
YKL081W	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1
YKL096C-B	0	0	0	0	0	0	0	0	0	1	1	0
YKL096W	0	0	0	0	0	0	0	0	0	0	1	0
YKL101W	0	0	0	0	0	0	1	0	0	1	0	-1
YKL118W	0	0	-1	0	0	0	-1	-1	-1	0	0	-1
YKL119C	-1	-1	0	-1	0	0	-1	0	-1	0	0	-1
YKL126W	-1	0	0	-1	-1	0	1	0	-1	0	0	0
